10, 7839, 7828, 2137, 99, 0, 0.00772005
20, 13435, 13402, 3659, 99, 0, 0.0115288
30, 19036, 18983, 5183, 99, 0, 0.0148258
40, 24628, 24575, 6710, 99, 0, 0.0280704
50, 30209, 30099, 8219, 99, 0, 0.0281601
60, 33582, 29553, 8069, 88, 11, 0.209259
70, 38524, 34029, 9292, 88, 11, 0.218896
80, 47037, 46951, 12820, 99, 0, 0.0413364
90, 52110, 50194, 13706, 96, 3, 0.198108
100, 50942, 41043, 11207, 80, 19, 0.311611

10, 7839, 7826, 2137, 99, 0, 0.0113971
20, 13437, 13411, 3662, 99, 0, 0.0161137
30, 19036, 19000, 5188, 99, 0, 0.0231495
40, 20433, 14075, 3843, 68, 31, 0.444854
50, 29016, 27375, 7475, 94, 5, 0.0724993
60, 29847, 22089, 6031, 74, 25, 0.218793
70, 33380, 22956, 6268, 68, 31, 0.329782
80, 41040, 30964, 8455, 75, 24, 0.32888
90, 44452, 30803, 8411, 69, 30, 0.326233
100, 44010, 24345, 6647, 55, 44, 0.39922
