10, 10634, 10622, 2900, 99, 0, 0.00726169
20, 16228, 16212, 4426, 99, 0, 0.0122031
30, 21819, 21778, 5946, 99, 0, 0.0170379
40, 27372, 27235, 7436, 99, 0, 0.0278392
50, 33020, 32957, 8999, 99, 0, 0.0376575
60, 38583, 38526, 10520, 99, 0, 0.0277318
70, 43930, 43285, 11819, 98, 1, 0.0516992
80, 48990, 47639, 13008, 97, 2, 0.105486
90, 53879, 51498, 14062, 95, 4, 0.150692
100, 56514, 49716, 13575, 87, 12, 0.260501
10, 10516, 10288, 2809, 97, 2, 0.0127791
20, 16230, 16199, 4423, 99, 0, 0.0169512
30, 21788, 21700, 5925, 99, 0, 0.0405073
40, 23756, 18263, 4987, 76, 23, 0.286078
50, 31498, 29470, 8047, 93, 6, 0.0794845
60, 38580, 38451, 10499, 99, 0, 0.0829419
70, 40549, 35116, 9589, 86, 13, 0.331969
80, 41434, 29254, 7988, 70, 29, 0.341122
90, 43744, 27013, 7376, 61, 38, 0.359682
100, 45217, 24222, 6614, 53, 46, 0.405207
